image_name,min_reflectance,min_edge_contrast,contrast,modulation,defects
UPC#13.BMP,10.823529243469238,62.15686798095703,81.49020385742188,76.27815246582031,8.084310531616211
UPC#14.BMP,14.117647171020508,61.686279296875,79.8431396484375,77.2646484375,17.590181350708008
UPC#15.BMP,16.352941513061523,59.29412078857422,77.7254867553711,76.29594421386719,21.44283103942871
UPC#16.BMP,14.196078300476074,60.1568603515625,78.66667175292969,76.4747543334961,28.745798110961914
UPC#17.BMP,14.431373596191406,60.274513244628906,78.98040008544922,76.32247161865234,30.615625381469727
UPC#18.BMP,15.05882453918457,60.39215850830078,78.94117736816406,76.51219940185547,13.266988754272461
UPC#19.BMP,18.156862258911133,56.82352828979492,75.33332824707031,75.44047546386719,18.325748443603516
UPC#20.BMP,15.411764144897461,59.0588264465332,76.98039245605469,76.74141693115234,22.785192489624023
UPC#21.BMP,15.215685844421387,58.39215850830078,76.86274719238281,75.97444152832031,29.808645248413086
UPC#22.BMP,14.901960372924805,59.09804153442383,77.25489807128906,76.50711822509766,34.33684539794922
UPC#23.BMP,12.313726425170898,59.92156219482422,78.43138122558594,76.40210723876953,5.792449951171875
UPC#24.BMP,13.568628311157227,58.98039627075195,77.8431396484375,75.78468322753906,5.2337517738342285
UPC#25.BMP,11.686273574829102,62.54902267456055,81.4117660522461,76.83058166503906,5.44312858581543
UPC#26.BMP,11.921567916870117,60.196075439453125,78.78430938720703,76.41398620605469,5.274037837982178
UPC#27.BMP,11.686274528503418,59.803916931152344,78.47058868408203,76.21571350097656,5.350712776184082
UPC#28.BMP,12.784314155578613,60.1568603515625,78.4313735961914,76.70528411865234,4.997262477874756
UPC#29.BMP,12.352941513061523,60.82352828979492,79.80391693115234,76.21998596191406,5.551109313964844
UPC#30.BMP,13.05882453918457,61.33333206176758,79.52941131591797,77.12809753417969,5.8656792640686035
UPC#31.BMP,10.86274528503418,62.431373596191406,80.98039245605469,77.1082992553711,5.47452974319458
UPC#32.BMP,10.70588207244873,62.039222717285156,80.00001525878906,77.56455993652344,5.100052833557129
